loja,sku,titulo,fabricante,categoria,disponibilidade,preco,url,fabricante_original,peso_g,unidade_peso_extraida,unidades,categoria_quantidade,faixa_peso,preco_por_100g,preco_por_500g,preco_por_unidade
Mambo,2532,Café Torrado e Moído Superior Aviação 500g,Aviação,Mercearia,Disponivel,54.98,https://www.mambo.com.br/cafe-superior-moido-aviacao-500g/p,Aviação,500.0,g,,peso,251g_500g,11.0,54.98,
Mambo,2533,Café Torrado e Moído 252 Graus a Vácuo Pilão 500g,Pilão,Mercearia,Disponivel,43.49,https://www.mambo.com.br/cafe-torrado-e-moido-252-graus-a-vacuo-pilao-500g/p,Pilão,500.0,g,,peso,251g_500g,8.7,43.49,
Mambo,2534,Café Torrado e Moído 252° Graus Abre & Fecha Pilão Sachê 500g,Pilão,Mercearia,Disponivel,43.49,https://www.mambo.com.br/cafe-torrado-e-moido-252--graus-abre---fecha-pilao-sache-500g/p,Pilão,500.0,g,,peso,251g_500g,8.7,43.49,
Mambo,2536,Café Torrado e Moído a Vácuo Tradicional 3 Corações Pacote 500g,3 Corações,Mercearia,Disponivel,27.99,https://www.mambo.com.br/cafe-torrado-e-moido-a-vacuo-tradicional-3-coracoes-pacote-500g/p,3 Corações,500.0,g,,peso,251g_500g,5.6,27.99,
Mambo,2537,Cápsula de Café Aqtivus 8 Delta 55g com 10 Unidades,Delta Q,Mercearia,Disponivel,28.49,https://www.mambo.com.br/cafe-aqtivus-8-delta-55g-com-10-capsulas/p,Delta Q,55.0,g,10.0,peso,ate_100g,51.8,259.0,2.85
Mambo,2538,Café Torrado e Moído Aromatizado Amêndoas Torradas Floresta 100g,Floresta,Mercearia,Disponivel,19.98,https://www.mambo.com.br/cafe-aromatizado-amendoas-torradas-floresta-100g/p,Floresta,100.0,g,,peso,ate_100g,19.98,99.9,
Mambo,2539,Café Torrado e Moído Aromatizado Baunilha com Nozes Floresta 100g,Floresta,Mercearia,Disponivel,19.98,https://www.mambo.com.br/cafe-aromatizado-baunilha-com-nozes-floresta-100g/p,Floresta,100.0,g,,peso,ate_100g,19.98,99.9,
Mambo,2541,Café Torrado e Moído Aromatizado Crème Brulée Floresta 100g,Floresta,Mercearia,Disponivel,19.98,https://www.mambo.com.br/cafe-aromatizado-creme-brulee-floresta-100g/p,Floresta,100.0,g,,peso,ate_100g,19.98,99.9,
Mambo,2542,Café Torrado e Moído Aromatizado Trufas com Chocolate Floresta 100g,Floresta,Mercearia,Disponivel,19.98,https://www.mambo.com.br/cafe-aromatizado-trufas-com-chocolate-floresta-100g/p,Floresta,100.0,g,,peso,ate_100g,19.98,99.9,
Mambo,2543,Cápsula de Café Barítono Bravo 50g com 10 Unidades,Bravo Café,Mercearia,Disponivel,23.98,https://www.mambo.com.br/cafe-baritono-bravo-50g-com-10-capsulas/p,Bravo Café,50.0,g,10.0,peso,ate_100g,47.96,239.8,2.4
Mambo,2545,Cápsula de Café Blonde Espresso Roast Starbucks & Nespresso com 10 Unidades,Nescafé,Mercearia,Disponivel,32.98,https://www.mambo.com.br/cafe-blonde-espresso-roast-starbucks-by-nespresso-com-10-capsulas/p,Nescafé,,,10.0,unidades,sem_peso,,,3.3
Mambo,2545,Cápsula de Café Blonde Espresso Roast Starbucks & Nespresso com 10 Unidades,Nescafé,Mercearia,Disponivel,32.98,https://www.mambo.com.br/cafe-blonde-espresso-roast-starbucks-by-nespresso-com-10-capsulas/p,Nescafé,,,10.0,unidades,sem_peso,,,3.3
Mambo,2546,Café Torrado e Moído Bourbon Amarelo Varietais Orfeu 250g,Orfeu,Mercearia,Disponivel,42.49,https://www.mambo.com.br/cafe-torrado-e-moido-bourbon-amarelo-varietais-orfeu-250g/p,Orfeu,250.0,g,,peso,101g_250g,17.0,84.98,
Mambo,2547,Cápsula de Café Bourbon Amarelo Orfeu 50g com 10 Unidades,Orfeu,Mercearia,Disponivel,26.99,https://www.mambo.com.br/cafe-bourbon-amarelo-orfeu-50g-com-10-capsulas/p,Orfeu,50.0,g,10.0,peso,ate_100g,53.98,269.9,2.7
Mambo,2555,Cápsula de Café Clássico Orfeu 50g com 10 Unidades,Orfeu,Mercearia,Disponivel,26.99,https://www.mambo.com.br/cafe-classico-orfeu-50g-com-10-capsulas/p,Orfeu,50.0,g,10.0,peso,ate_100g,53.98,269.9,2.7
Mambo,2556,Cápsula de Café Single-Origin Colombia Nespresso Starbucks 57g com 10 Unidades,Nescafé,Mercearia,Disponivel,32.98,https://www.mambo.com.br/capsula-de-cafe-single-origin-colombia-nespresso-starbucks-57g-com-10-unidades/p,Nescafé,57.0,g,10.0,peso,ate_100g,57.86,289.3,3.3
Mambo,2557,Cápsula de Café com Cacau Italle 25g com 10 Unidades,Italle,Mercearia,Disponivel,18.99,https://www.mambo.com.br/cafe-com-cacau-italle-25g-10-capsulas/p,Italle,25.0,g,10.0,peso,ate_100g,75.96,379.8,1.9
Mambo,2559,Cápsula de Café Com Leite Tres 3 Corações 90g com 10 Unidades,3 Corações,Mercearia,Disponivel,17.98,https://www.mambo.com.br/capsula-de-cafe-com-leite-tres-3-coracoes-90g-com-10-unidades/p,3 Corações,90.0,g,10.0,peso,ate_100g,19.98,99.89,1.8
Mambo,2561,Cápsula de Café Baileys Supremo Macchiato Tres 3 Corações 110g com 10 Unidades,3 Corações,Mercearia,Disponivel,17.98,https://www.mambo.com.br/capsula-baileys-supremo-macchiato-3-coracoes-10-unid/p,3 Corações,110.0,g,10.0,peso,101g_250g,16.35,81.73,1.8
Mambo,2568,Cápsula de Café Espresso Forza Tres 3 Corações 80g com 10 Unidades,3 Corações,Mercearia,Disponivel,17.98,https://www.mambo.com.br/capsula-de-cafe-espresso-forza-tres-3-coracoes-80g-com-10-unidades/p,3 Corações,80.0,g,10.0,peso,ate_100g,22.48,112.38,1.8
Mambo,2572,Café Torrado e Moído Descafeinado a Vácuo 3 Corações 250g,3 Corações,Mercearia,Disponivel,40.98,https://www.mambo.com.br/cafe-torrado-e-moido-descafeinado-a-vacuo-3-coracoes-250g/p,3 Corações,250.0,g,,peso,101g_250g,16.39,81.96,
Mambo,2573,Café Torrado e Moído Descafeinado Melitta 250g,Melitta,Mercearia,Disponivel,40.98,https://www.mambo.com.br/cafe-torrado-e-moido-descafeinado-melitta-250g/p,Melitta,250.0,g,,peso,101g_250g,16.39,81.96,
