Titulo,Fabricante,preco,loja,peso_gramas,faixa_peso,preco_100g,preco_500g,preco_unidade
Café Torrado e Moído Superior Aviação 500g,Aviação,54.98,Mambo,500.0,251g_500g,10.996,54.98,
Café Torrado e Moído 252 Graus a Vácuo Pilão 500g,Pilão,43.49,Mambo,500.0,251g_500g,8.698,43.49,
Café Torrado e Moído 252° Graus Abre & Fecha Pilão Sachê 500g,Pilão,43.49,Mambo,500.0,251g_500g,8.698,43.49,
Café Torrado e Moído a Vácuo Tradicional 3 Corações Pacote 500g,3 Corações,27.99,Mambo,500.0,251g_500g,5.598,27.99,
Cápsula de Café Aqtivus 8 Delta 55g com 10 Unidades,Delta Q,28.49,Mambo,55.0,ate_100g,51.8,259.0,2.849
Café Torrado e Moído Aromatizado Amêndoas Torradas Floresta 100g,Floresta,19.98,Mambo,100.0,ate_100g,19.98,99.9,
Café Torrado e Moído Aromatizado Baunilha com Nozes Floresta 100g,Floresta,19.98,Mambo,100.0,ate_100g,19.98,99.9,
Café Torrado e Moído Aromatizado Crème Brulée Floresta 100g,Floresta,19.98,Mambo,100.0,ate_100g,19.98,99.9,
Café Torrado e Moído Aromatizado Trufas com Chocolate Floresta 100g,Floresta,19.98,Mambo,100.0,ate_100g,19.98,99.9,
Cápsula de Café Barítono Bravo 50g com 10 Unidades,Bravo Café,23.98,Mambo,50.0,ate_100g,47.96,239.8,2.398
Cápsula de Café Blonde Espresso Roast Starbucks & Nespresso com 10 Unidades,Nescafé,32.98,Mambo,,sem_peso,,,3.298
Cápsula de Café Blonde Espresso Roast Starbucks & Nespresso com 10 Unidades,Nescafé,32.98,Mambo,,sem_peso,,,3.298
Café Torrado e Moído Bourbon Amarelo Varietais Orfeu 250g,Orfeu,42.49,Mambo,250.0,101g_250g,16.996,84.98,
Cápsula de Café Bourbon Amarelo Orfeu 50g com 10 Unidades,Orfeu,26.99,Mambo,50.0,ate_100g,53.98,269.9,2.699
Cápsula de Café Clássico Orfeu 50g com 10 Unidades,Orfeu,26.99,Mambo,50.0,ate_100g,53.98,269.9,2.699
Cápsula de Café Single-Origin Colombia Nespresso Starbucks 57g com 10 Unidades,Nescafé,32.98,Mambo,57.0,ate_100g,57.85964912280701,289.29824561403507,3.298
Cápsula de Café com Cacau Italle 25g com 10 Unidades,Italle,18.99,Mambo,25.0,ate_100g,75.96,379.8,1.899
Cápsula de Café Com Leite Tres 3 Corações 90g com 10 Unidades,3 Corações,17.98,Mambo,90.0,ate_100g,19.977777777777774,99.88888888888889,1.798
Cápsula de Café Baileys Supremo Macchiato Tres 3 Corações 110g com 10 Unidades,3 Corações,17.98,Mambo,110.0,101g_250g,16.345454545454547,81.72727272727273,1.798
Cápsula de Café Espresso Forza Tres 3 Corações 80g com 10 Unidades,3 Corações,17.98,Mambo,80.0,ate_100g,22.475,112.375,1.798
Café Torrado e Moído Descafeinado a Vácuo 3 Corações 250g,3 Corações,40.98,Mambo,250.0,101g_250g,16.392,81.96,
Café Torrado e Moído Descafeinado Melitta 250g,Melitta,40.98,Mambo,250.0,101g_250g,16.392,81.96,
Café Torrado e Moído Descafeínado a Vácuo Pilão 250g,Pilão,40.98,Mambo,250.0,101g_250g,16.392,81.96,
Cápsula de Café Bourbon Amarelo Orfeu 50g com 10 Unidades,Orfeu,29.99,Mambo,50.0,ate_100g,59.98,299.9,2.999
Cápsula de Café Clássico Orfeu 90g com 10 Unidades,Orfeu,29.99,Mambo,90.0,ate_100g,33.32222222222222,166.6111111111111,2.999
Cápsula de Café Intenso Orfeu 90g com 10 Unidades,Orfeu,29.99,Mambo,90.0,ate_100g,33.32222222222222,166.6111111111111,2.999
Cápsula de Café Orgânico Orfeu 90g com 10 Unidades,Orfeu,36.98,Mambo,90.0,ate_100g,41.08888888888889,205.44444444444443,3.698
Cápsula de Café Torrado e Moído Clássico Espresso Illy Caixa 57g com 10 Unidades,Illy,24.99,Mambo,57.0,ate_100g,43.84210526315789,219.21052631578948,2.499
Cápsula de Café Forte Espresso Illy Caixa 57g com 10 Unidades,Illy,24.99,Mambo,57.0,ate_100g,43.84210526315789,219.21052631578948,2.499
Cápsula de Café Intenso Espresso Illy Caixa 57g com 10 Unidades,Illy,24.99,Mambo,57.0,ate_100g,43.84210526315789,219.21052631578948,2.499
Café em Grãos Classico Illy Blend 250g,Illy,48.98,Mambo,250.0,101g_250g,19.592,97.96,
Cápsula de Café Epiq Intensidade 14 Delta Q 55g com 10 Unidades,Delta Q,28.49,Mambo,55.0,ate_100g,51.8,259.0,2.849
Café Torrado e Moído Especial a Vácuo Melitta 500g,Melitta,56.98,Mambo,500.0,251g_500g,11.396,56.98,
Café em Cápsulas de Torrado e moído Pilão Fortíssimo 10 - 52g com 10 Cápsulas,Pilão,25.49,Mambo,52.0,ate_100g,49.01923076923077,245.0961538461538,2.549
Café em Cápsula Torrado e Moído Espresso Extraforte Pilão Caixa 52g 10 Unidades,Pilão,25.49,Mambo,52.0,ate_100g,49.01923076923077,245.0961538461538,2.549
Café em Cápsulas de Torrado e moído Pilão Tradicional 07 52g com 10 Cápsulas ,Pilão,25.49,Mambo,52.0,ate_100g,49.01923076923077,245.0961538461538,2.549
Cápsula de Café Espresso Ameno Tres 3 Corações 80g com 10 Unidades,3 Corações,17.98,Mambo,80.0,ate_100g,22.475,112.375,1.798
Cápsula de Café Espresso Atento Tres 3 Corações 80g com 10 Unidades,3 Corações,17.98,Mambo,80.0,ate_100g,22.475,112.375,1.798
Cápsula de Café Espresso Colombia L'or 52g com 10 Unidades,L'OR,30.98,Mambo,52.0,ate_100g,59.57692307692308,297.8846153846154,3.098
Cápsula de Café Descafeinado Tres 3 Corações 80g com 10 Unidades,3 Corações,17.98,Mambo,80.0,ate_100g,22.475,112.375,1.798
Cápsula de Café Espresso Forza L'or 52 com 10 Unidades,L'OR,30.98,Mambo,,sem_peso,,,3.098
Café em Grãos Espresso Gourmet Ituano 1kg,Ituano,119.98,Mambo,1000.0,501g_1kg,11.998,59.99,
Café em Grãos Espresso Intenso Evolutto 1kg,Evolutto,132.98,Mambo,1000.0,501g_1kg,13.297999999999998,66.49,
Cápsula de Café Espresso Lungo Estremo L'or 52g com 10 Unidades,L'OR,30.98,Mambo,52.0,ate_100g,59.57692307692308,297.8846153846154,3.098
Cápsula de Café Espresso Onyx L'or 52g com 10 Unidades,L'OR,30.98,Mambo,52.0,ate_100g,59.57692307692308,297.8846153846154,3.098
Cápsula de Café Espresso Pleno Tres 3 Corações 80g com 10 Unidades,3 Corações,17.98,Mambo,80.0,ate_100g,22.475,112.375,1.798
Cápsula de Café Espresso Ristretto Descafeinado L'or 52g com 10 Unidades,L'OR,30.98,Mambo,52.0,ate_100g,59.57692307692308,297.8846153846154,3.098
Cápsula de Café Espresso Ristretto L'or 52g com 10 Unidades,L'OR,30.98,Mambo,52.0,ate_100g,59.57692307692308,297.8846153846154,3.098
Cápsula de Café Espresso Select Orgânico Native 50g com 10 Unidades,Native,29.98,Mambo,50.0,ate_100g,59.96,299.8,2.998
Cápsula de Café Espresso Sontuoso L'or 52g com 10 Unidades,L'OR,30.98,Mambo,52.0,ate_100g,59.57692307692308,297.8846153846154,3.098
Café em Grãos Espresso Superior Ituano 1kg,Ituano,115.98,Mambo,1000.0,501g_1kg,11.598,57.99,
Cápsula de Café Espresso Supremo Tres 3 Corações 80g com 10 Unidades,3 Corações,17.98,Mambo,80.0,ate_100g,22.475,112.375,1.798
Cápsula de Café Espresso Vibrante Tres 3 Corações 80g com 10 Unidades,3 Corações,17.98,Mambo,80.0,ate_100g,22.475,112.375,1.798
Cápsula de Café Expresso em Cápsula Guatemala L'or 52g com 10 Unidades,L'OR,30.98,Mambo,52.0,ate_100g,59.57692307692308,297.8846153846154,3.098
Cápsula de Café Expresso Índia L'or 52g com 10 Unidades,L'OR,30.98,Mambo,52.0,ate_100g,59.57692307692308,297.8846153846154,3.098
Café Torrado e Moído Extra Forte a Vácuo 3 Corações 250g,3 Corações,25.98,Mambo,250.0,101g_250g,10.392,51.96,
Café Torrado e Moído Extra Forte a Vácuo Melitta 500g,Melitta,31.99,Mambo,500.0,251g_500g,6.398,31.99,
Café Torrado e Moído Extra Forte a Vácuo Pilão 500g,Pilão,43.49,Mambo,500.0,251g_500g,8.698,43.49,
Café Torrado e Moído Extraforte 3 Corações Pacote 250g,3 Corações,25.49,Mambo,250.0,101g_250g,10.196,50.98,
Café Torrado e Moído Extra Forte 3 Corações 500g,3 Corações,27.99,Mambo,500.0,251g_500g,5.598,27.99,
Café Torrado e Moído Extra Forte Floresta 500g,Cafe Floresta,34.98,Mambo,500.0,251g_500g,6.996,34.98,
