Fabricante,mean,median,min,max,count,range
Italle,15.88,13.99,13.99,18.99,9,5.0
Café União Pouch 250g,16.99,16.99,16.99,16.99,2,0.0
Floresta,19.98,19.98,19.98,19.98,4,0.0
Embafreezer,19.98,19.98,19.98,19.98,1,0.0
Bauducco,21.9,21.9,21.9,21.9,1,0.0
Iguaçu,22.27,27.99,8.69,32.99,5,24.3
Havanna,22.44,22.44,17.98,26.9,2,8.92
Genérico,22.99,22.99,22.99,22.99,1,0.0
Qualitá,24.11,21.99,5.89,38.99,26,33.1
Café Brasileiro,24.86,25.99,7.79,28.99,9,21.2
Astro Cafe,24.89,23.99,9.49,33.99,5,24.5
Carraro,24.98,24.98,24.98,24.98,4,0.0
Nescafé,25.23,23.2,7.91,45.98,88,38.07
Gold,25.32,14.49,14.49,46.98,3,32.49
Camil,25.9,25.9,25.9,25.9,1,0.0
União,25.97,25.44,16.99,36.99,24,20.0
Nescafé Gold,26.89,32.79,11.59,35.19,7,23.6
Dolce Gusto,27.63,25.99,25.99,31.99,11,6.0
Bravo Café,28.17,23.99,7.98,47.9,21,39.92
Delta Q,28.49,28.49,28.49,28.49,6,0.0
Nescafé Dolce Gusto,28.68,27.99,9.99,85.9,27,75.91
3 Corações,28.69,26.7,2.99,163.49,190,160.5
L'OR,28.8,30.98,2.99,88.49,96,85.5
Fort,28.99,28.99,28.99,28.99,1,0.0
Brasileiro,28.99,28.99,28.99,28.99,1,0.0
Melitta,29.84,24.99,10.98,80.98,30,70.0
Nestlé,30.87,31.24,17.9,52.98,6,35.08
Native,30.98,29.98,17.99,45.99,4,28.0
C Annata,30.99,30.99,30.99,30.99,1,0.0
Baggio,33.21,33.98,24.99,46.49,49,21.5
Café do Centro,33.99,33.99,33.99,33.99,2,0.0
Cafe Floresta,34.98,34.98,34.98,34.98,2,0.0
Premiado,34.99,34.99,34.99,34.99,1,0.0
Pilão,35.06,30.74,9.59,153.98,72,144.39
Caboclo,35.24,34.99,34.99,35.98,4,0.99
Coffee ++,36.9,29.9,22.9,154.98,29,132.08
Café Pelé,36.98,36.98,36.98,36.98,1,0.0
Illy,37.4,29.44,5.89,72.49,34,66.6
Bravo,38.99,38.99,38.99,38.99,1,0.0
Orfeu,39.05,40.49,3.09,65.49,66,62.4
St. Marche,39.63,31.99,2.99,107.99,61,105.0
Taeq,39.99,39.99,39.99,39.99,1,0.0
Moderato,39.99,39.99,39.99,39.99,1,0.0
3 Chá,39.99,39.99,39.99,39.99,2,0.0
Villa Piva,40.69,40.19,38.69,43.19,3,4.5
Constantino,41.54,35.99,16.9,59.9,5,43.0
Santa Mônica,42.23,39.99,12.24,159.98,23,147.74
Café Fazenda Pessegueiro,43.57,37.19,32.99,66.09,5,33.1
Casa Brasil,44.33,38.99,33.99,69.8,5,35.81
Baobá,44.84,50.29,35.69,50.39,8,14.7
Starbucks,45.19,37.26,3.09,127.49,26,124.4
Café Toledo,46.74,43.49,33.99,65.99,4,32.0
Cia Organica,49.11,48.48,47.49,51.98,4,4.49
Bialetti,49.24,49.24,48.98,49.49,2,0.51
Café do Ponto,53.06,47.99,19.99,165.29,11,145.3
Caffè Corsini,53.93,64.98,38.49,68.98,9,30.49
Aviação,54.98,54.98,54.98,54.98,2,0.0
Juan Valdez,58.9,46.7,9.99,103.98,14,93.99
Prima Qualitá,62.36,60.48,27.49,100.98,4,73.49
Evolutto,84.98,84.98,36.98,132.98,2,96.0
Ituano,87.98,115.98,27.98,119.98,3,92.0
Luvizotto,110.15,98.49,36.98,194.98,3,158.0
