Fabricante,Mambo,St.Marche,Paodeacucar,Total
3 Corações,85,62,39,186
L'OR,36,28,32,96
Nescafé,56,12,20,88
Pilão,30,21,21,72
Orfeu,33,10,23,66
St. Marche,0,61,0,61
Baggio,18,14,17,49
Illy,15,8,11,34
Melitta,24,2,4,30
pa,0,0,29,29
Coffee ++,29,0,0,29
Nescafé Dolce Gusto,0,0,27,27
Starbucks,7,11,8,26
União,9,3,12,24
Qualitá,0,0,22,22
Bravo Café,9,9,0,18
Santa Monica,4,0,13,17
Juan Valdez,7,3,4,14
Dolce Gusto,0,11,0,11
Café Brasileiro,6,0,3,9
Italle,9,0,0,9
Caffè Corsini,9,0,0,9
Baobá,0,8,0,8
Nescafé Gold,0,0,7,7
Café do Ponto,3,1,3,7
Nestlé,6,0,0,6
Santa Mônica,6,0,0,6
Delta Q,6,0,0,6
Constantino,0,0,5,5
Casa Brasil,0,5,0,5
Astro Cafe,0,0,5,5
Café Fazenda Pessegueiro,0,5,0,5
Floresta,4,0,0,4
Iguaçu,4,0,0,4
Caboclo,1,0,3,4
Native,2,0,2,4
Cia Organica,4,0,0,4
Carraro,4,0,0,4
Café Toledo,4,0,0,4
Villa Piva,0,3,0,3
Ituano,3,0,0,3
Gold,3,0,0,3
Café Do Ponto,0,3,0,3
Bravo Cafe,0,0,3,3
Qualitá Exclusive,0,0,3,3
Luvizotto,3,0,0,3
Três,0,0,3,3
3 Chá,0,0,2,2
Aviação,2,0,0,2
Prima Qualita,2,0,0,2
Prima Qualitá,0,0,2,2
Bialetti,2,0,0,2
Evolutto,2,0,0,2
Havanna,1,1,0,2
Café União Pouch 250g,0,0,2,2
Café do Centro,0,0,2,2
Cafe Floresta,2,0,0,2
Brasileiro,1,0,0,1
Bauducco,1,0,0,1
Embafreezer,0,0,1,1
Camil,1,0,0,1
Cafe Iguacu,1,0,0,1
C Annata,0,0,1,1
Bravo,0,0,1,1
Café Pelé,1,0,0,1
Genérico,0,0,1,1
Fort,1,0,0,1
Premiado,0,0,1,1
Moderato,0,0,1,1
QUALITA,0,0,1,1
Taeq,0,0,1,1
Tres,0,1,0,1
do Ponto,0,0,1,1
