Fabricante,mean,median,min,max,count,range
Italle,15.88,13.99,13.99,18.99,9,5.0
Floresta,24.98,19.98,19.98,34.98,6,15.0
Embafreezer,19.98,19.98,19.98,19.98,1,0.0
Bauducco,21.9,21.9,21.9,21.9,1,0.0
Qualitá,24.11,21.99,5.89,38.99,26,33.1
Havanna,22.44,22.44,17.98,26.9,2,8.92
Genérico,22.99,22.99,22.99,22.99,1,0.0
Astro Café,24.89,23.99,9.49,33.99,5,24.5
Carraro,24.98,24.98,24.98,24.98,4,0.0
Melitta,30.41,24.99,10.98,80.98,32,70.0
Camil,25.9,25.9,25.9,25.9,1,0.0
Café Brasileiro,25.27,25.99,7.79,28.99,10,21.2
União,25.8,26.89,16.99,36.99,31,20.0
3 Corações,28.64,26.9,2.99,163.49,198,160.5
Bravo Café,31.76,26.9,7.98,95.8,27,87.82
Nescafé,27.01,26.98,7.91,107.99,165,100.08
Anastácia do Quilombo,26.99,26.99,26.99,26.99,1,0.0
Pilão,34.77,27.96,9.59,153.98,80,144.39
Iguaçu,22.27,27.99,8.69,32.99,5,24.3
Delta Q,28.49,28.49,28.49,28.49,6,0.0
Dandara do Quilombo,28.99,28.99,28.99,28.99,1,0.0
Fort,28.99,28.99,28.99,28.99,1,0.0
Illy,38.21,29.9,5.89,72.49,39,66.6
Coffee ++,36.9,29.9,22.9,154.98,29,132.08
Native,30.98,29.98,17.99,45.99,4,28.0
L'OR,29.07,30.98,2.99,89.9,102,86.91
C Annata,30.99,30.99,30.99,30.99,1,0.0
Tereza do Quilombo,30.99,30.99,30.99,30.99,1,0.0
Nestlé,30.87,31.24,17.9,52.98,6,35.08
Starbucks,43.59,32.99,3.09,127.49,28,124.4
Baggio,33.88,33.98,24.99,60.99,51,36.0
Café do Centro,33.99,33.99,33.99,33.99,2,0.0
Caboclo,35.24,34.99,34.99,35.98,4,0.99
Premiado,34.99,34.99,34.99,34.99,1,0.0
Constantino,41.54,35.99,16.9,59.9,5,43.0
Café Pelé,36.98,36.98,36.98,36.98,1,0.0
Café Fazenda Pessegueiro,43.57,37.19,32.99,66.09,5,33.1
Casa Brasil,44.33,38.99,33.99,69.8,5,35.81
Santa Mônica,42.23,39.99,12.24,159.98,23,147.74
3 Chá,39.99,39.99,39.99,39.99,2,0.0
Moderato,39.99,39.99,39.99,39.99,1,0.0
Taeq,39.99,39.99,39.99,39.99,1,0.0
Villa Piva,40.69,40.19,38.69,43.19,3,4.5
Orfeu,39.07,40.49,3.09,65.49,70,62.4
Latitude 13,52.37,40.99,40.59,86.9,4,46.31
Café Toledo,46.74,43.49,33.99,65.99,4,32.0
Café do Ponto,53.06,47.99,19.99,165.29,11,145.3
Cia Orgânica,49.11,48.48,47.49,51.98,4,4.49
Bialetti,49.24,49.24,48.98,49.49,2,0.51
Cafellow,41.23,49.9,23.9,49.9,3,26.0
Baobá,44.84,50.29,35.69,50.39,8,14.7
Aviação,54.98,54.98,54.98,54.98,2,0.0
Prima Qualitá,62.36,60.48,27.49,100.98,4,73.49
Juan Valdez,64.68,61.94,9.99,103.98,18,93.99
Caffè Corsini,53.93,64.98,38.49,68.98,9,30.49
Evolutto,84.98,84.98,36.98,132.98,2,96.0
Luvizotto,110.15,98.49,36.98,194.98,3,158.0
Ituano,87.98,115.98,27.98,119.98,3,92.0
