loja,faixa_peso,produtos,preco_mediano,preco_500g_mediano
Mambo,101g_250g,158,32.48,79.92
Mambo,251g_500g,57,43.49,43.49
Mambo,501g_1kg,8,143.48,71.74
Mambo,ate_100g,213,25.49,219.9
Mambo,sem_peso,20,30.48,
PaodeAcucar,101g_250g,95,32.99,77.98
PaodeAcucar,251g_500g,39,34.99,34.99
PaodeAcucar,501g_1kg,5,27.49,13.74
PaodeAcucar,ate_100g,167,24.99,219.9
PaodeAcucar,sem_peso,13,26.99,
St Marche,101g_250g,71,35.99,84.98
St Marche,251g_500g,38,41.5,41.5
St Marche,501g_1kg,3,163.49,81.74
St Marche,ate_100g,92,29.9,240.29
St Marche,sem_peso,78,29.49,
