Fabricante,Mambo,St.Marche,Paodeacucar,Total
3 Corações,85,63,43,191
L'OR,36,28,32,96
Nescafé,56,12,20,88
Pilão,30,21,23,74
Orfeu,33,10,23,66
St. Marche,0,61,0,61
Baggio,18,14,17,49
Illy,15,8,13,36
Melitta,24,2,4,30
Coffee ++,29,0,0,29
Nescafé Dolce Gusto,0,0,28,28
Qualitá,0,0,26,26
Starbucks,7,11,8,26
União,9,3,13,25
Santa Mônica,10,0,13,23
Bravo Café,9,9,4,22
Juan Valdez,7,3,5,15
Café do Ponto,3,4,4,11
Dolce Gusto,0,11,0,11
Caffè Corsini,9,0,0,9
Italle,9,0,0,9
Café Brasileiro,6,0,3,9
Baobá,0,8,0,8
Nescafé Gold,0,0,7,7
Native,2,0,5,7
Delta Q,6,0,0,6
Nestlé,6,0,0,6
Café Fazenda Pessegueiro,0,5,0,5
Astro Cafe,0,0,5,5
Casa Brasil,0,5,0,5
Constantino,0,0,5,5
Iguaçu,5,0,0,5
Prima Qualitá,2,0,2,4
Floresta,4,0,0,4
Café Toledo,4,0,0,4
Cia Organica,4,0,0,4
Carraro,4,0,0,4
Caboclo,1,0,3,4
Gold,3,0,0,3
Villa Piva,0,3,0,3
Ituano,3,0,0,3
Luvizotto,3,0,0,3
Aviação,2,0,0,2
3 Chá,0,0,2,2
Bialetti,2,0,0,2
Cafe Floresta,2,0,0,2
Havanna,1,1,0,2
Evolutto,2,0,0,2
Café do Centro,0,0,2,2
Café União Pouch 250g,0,0,2,2
Bravo,0,0,1,1
Brasileiro,1,0,0,1
Bauducco,1,0,0,1
C Annata,0,0,1,1
Camil,1,0,0,1
Café Pelé,1,0,0,1
Fort,1,0,0,1
Genérico,0,0,1,1
Moderato,0,0,1,1
Embafreezer,0,0,1,1
Premiado,0,0,1,1
Taeq,0,0,1,1
